"Mortality rate age 5-14 (10q5): the probability of dying between exact age 5 and exact age 15, expressed per 1,000 children aged 5",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Country_Name,Country_ISO,Series_Name,Series_Year,Indicator,Sex,Series_Type,Series_Category,Data_Collection_Method,Interval,Reference_Date,Estimates,Standard_Error_of_Estimates,Inclusion,DataCatalogID
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2018.5,2.19,0.26,1,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2019.5,1.96,0.24,1,471
Albania,ALB,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2021.5,1.81,0.25,1,471
Albania,ALB,Demographic and Health Survey,2018,Mortality Rate age 5-14,Total,Direct,DHS,Full Birth Histories,12,2011.7,1.28,0.43,1,7474
Albania,ALB,Census,2011,Mortality Rate age 5-14,Total,Household Deaths,Census,Household Deaths,1,2011.1,3.2,,1,4808
Albania,ALB,Demographic and Health Survey,2008-2009,Mortality Rate age 5-14,Total,Direct,DHS,Full Birth Histories,12,2002.7,1.58,0.61,1,4483
Albania,ALB,Reproductive Health Survey,2002,Mortality Rate age 5-14,Total,Direct,RHS,Full Birth Histories,12,1996.7,3.42,1.21,1,1681
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1980.5,17.53,0.17,0,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1981.5,16.59,0.16,0,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1982.5,15.83,0.16,0,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1985.5,14.73,0.14,0,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1986.5,10.76,0.12,1,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1998.5,6.84,0.1,1,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2000.5,6.49,0.1,1,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2001.5,6.12,0.1,1,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2002.5,5.97,0.1,1,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2003.5,5.91,0.1,1,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2004.5,4.87,0.09,1,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2005.5,5.09,0.09,1,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2006.5,4.91,0.09,1,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2007.5,4.95,0.09,1,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2008.5,4.73,0.09,1,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2009.5,4.3,0.08,1,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2010.5,4.23,0.08,1,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2011.5,4.08,0.08,1,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2012.5,4.09,0.07,1,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2013.5,4.12,0.07,1,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2014.5,4.22,0.07,1,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2016.5,3.52,0.06,1,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2017.5,3.69,0.06,1,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2018.5,3.42,0.06,1,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2019.5,3.31,0.06,1,495
Algeria,DZA,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2020.5,2.87,0.05,1,495
Algeria,DZA,Multiple Indicator Cluster Survey,2019,Mortality Rate age 5-14,Total,Direct,MICS,Full Birth Histories,12,2013,2.78,0.55,0,7573
Algeria,DZA,Multiple Indicator Cluster Survey,2012-2013,Mortality Rate age 5-14,Total,Direct,MICS,Full Birth Histories,12,2006.8,2.02,0.38,0,4984
Algeria,DZA,PAPFAM Family Health Survey,2002,Mortality Rate age 5-14,Total,Direct,PAP,Full Birth Histories,12,1996,5.11,0.83,1,149
Algeria,DZA,PAPCHILD Maternal and Child Health Survey,1992,Mortality Rate age 5-14,Total,Direct,Others,Full Birth Histories,6,1983,9.73,1.76,1,32
Algeria,DZA,PAPCHILD Maternal and Child Health Survey,1992,Mortality Rate age 5-14,Total,Direct,Others,Full Birth Histories,6,1989,5.69,0.98,1,32
Andorra,AND,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,5,1996.5,2.68,0.91,0,3038
Andorra,AND,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,18,2012,0.75,0.23,0,3038
Angola,AGO,Demographic and Health Survey,2015-2016,Mortality Rate age 5-14,Total,Direct,DHS,Full Birth Histories,3,2005.3,22.24,4.25,0,5805
Angola,AGO,Demographic and Health Survey,2015-2016,Mortality Rate age 5-14,Total,Direct,DHS,Full Birth Histories,3,2008.3,26.5,5.97,0,5805
Angola,AGO,Demographic and Health Survey,2015-2016,Mortality Rate age 5-14,Total,Direct,DHS,Full Birth Histories,3,2011.3,22.03,3.3,0,5805
Angola,AGO,Demographic and Health Survey,2015-2016,Mortality Rate age 5-14,Total,Direct,DHS,Full Birth Histories,3,2014.3,16.4,2.25,0,5805
Angola,AGO,Census,2014,Mortality Rate age 5-14,Total,Household Deaths,Census,Household Deaths,1,2013.9,37.19,,0,4704
Angola,AGO,Malaria Indicator Survey,2011,Mortality Rate age 5-14,Total,Direct,MIS,Full Birth Histories,3,2000.5,31.09,6.76,0,5077
Angola,AGO,Malaria Indicator Survey,2011,Mortality Rate age 5-14,Total,Direct,MIS,Full Birth Histories,3,2003.5,30.63,5.19,0,5077
Angola,AGO,Malaria Indicator Survey,2011,Mortality Rate age 5-14,Total,Direct,MIS,Full Birth Histories,3,2006.5,25.76,3.85,0,5077
Angola,AGO,Malaria Indicator Survey,2011,Mortality Rate age 5-14,Total,Direct,MIS,Full Birth Histories,3,2009.5,23.95,3.41,0,5077
Antigua and Barbuda,ATG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,3,1962.5,7.29,1.22,0,443
Antigua and Barbuda,ATG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1964.5,6.95,2.02,0,443
Antigua and Barbuda,ATG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1966.5,8.06,2.09,0,443
Antigua and Barbuda,ATG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,7,1972.5,2.35,0.43,0,443
Antigua and Barbuda,ATG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,3,1977.5,4.67,1.06,0,443
Antigua and Barbuda,ATG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,11,1988.5,1.94,0.37,0,443
Antigua and Barbuda,ATG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,12,2000,1.92,0.34,0,443
Antigua and Barbuda,ATG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,4,2008,2.76,0.73,0,443
Antigua and Barbuda,ATG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,10,2017,1.99,0.4,0,443
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1966.5,4.4,0.1,0,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1967.5,5.63,0.11,0,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1968.5,6.89,0.12,0,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1969.5,6.85,0.12,0,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1970.5,6.78,0.12,0,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1977.5,5.49,0.1,0,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1978.5,5.1,0.09,0,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1979.5,4.88,0.09,0,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1980.5,4.61,0.09,0,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1981.5,5.07,0.09,0,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1982.5,4.05,0.08,0,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1983.5,4.46,0.08,0,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1984.5,4.14,0.08,0,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1985.5,3.71,0.07,0,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1986.5,3.82,0.08,0,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1987.5,3.56,0.07,0,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1988.5,3.43,0.07,0,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1989.5,3.49,0.07,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1990.5,3.41,0.07,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1991.5,3.28,0.07,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1992.5,3.38,0.07,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1993.5,3.31,0.07,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1994.5,3.17,0.07,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1995.5,2.91,0.06,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1996.5,2.97,0.07,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1997.5,2.94,0.06,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1998.5,3,0.06,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1999.5,2.97,0.06,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2000.5,2.75,0.06,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2001.5,2.82,0.06,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2002.5,2.75,0.06,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2003.5,2.6,0.06,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2004.5,2.59,0.06,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2005.5,2.78,0.06,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2006.5,2.87,0.06,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2007.5,2.75,0.06,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2008.5,2.7,0.06,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2009.5,2.72,0.06,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2010.5,2.49,0.06,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2011.5,2.58,0.06,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2012.5,2.26,0.06,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2013.5,2.25,0.06,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2014.5,2.23,0.06,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2015.5,2.1,0.05,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2016.5,2.1,0.05,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2017.5,2.18,0.05,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2018.5,1.82,0.05,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2019.5,1.92,0.05,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2020.5,1.54,0.05,1,434
Argentina,ARG,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,2021.5,1.82,0.05,1,434
Armenia,ARM,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1981.5,4.05,0.25,0,439
Armenia,ARM,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1982.5,5.14,0.28,0,439
Armenia,ARM,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1983.5,5.06,0.28,0,439
Armenia,ARM,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1984.5,7.28,0.32,0,439
Armenia,ARM,VR Submitted to WHO/UNIGME 2023 version,2023,Mortality Rate age 5-14,Total,VR,VR,Vital Registration,1,1985.5,6.7,0.31,0,439
